id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29150746,Waterfront privacy - Cozy vacation home,219658423,Tim,Kent,Wellington,46.43848,-64.70642,Entire home/apt,250,3,19,2021-08-16,0.52,1,19,5,
46150140,Cozy camp 2,373410986,Daniel & Randalyn,Madawaska,Saint-Francois,47.21967,-68.65194,Private room,104,1,8,2022-05-14,0.40,4,293,5,
36698598,BaieSteAnneCottage.Minimum 7 nights summer month,48721268,Colin,Northumberland,Hardwicke,47.03242,-65.01803,Entire home/apt,175,2,6,2022-06-02,0.24,1,296,3,
552500,Maine Riverfront Bed and Breakfast ROOM 3,2714886,Karen,Charlotte,Dufferin,45.16902,-67.24404,Private room,175,1,61,2021-10-14,0.51,4,114,5,
7797124,Best Cottage on the Bay of Fundy,41039968,Julie,Albert,Harvey,45.63206,-64.85833,Entire home/apt,200,2,125,2022-06-22,1.71,1,30,19,
3711811,Maine Riverfront B&B Lodging ROOM 2,2714886,Karen,Charlotte,Saint Stephen,45.18436,-67.26629,Private room,175,1,15,2018-09-30,0.16,4,120,0,
8053240,Cottage in New-Brunswick,153800568,Maurice,Gloucester,Shippagan,47.75528,-64.74363,Entire home/apt,145,5,32,2022-06-18,0.45,1,257,3,
52166866,It's About Time Unit #1 & Unit 2 (whole house),340761482,Elizabeth And Michael,Northumberland,Newcastle,47.07101,-65.41775,Entire home/apt,625,3,0,,,3,310,0,
16463016,Captain's Cabin,53109800,Louis,Charlotte,Saint Croix,45.107128,-67.129951,Entire home/apt,221,3,43,2022-06-17,0.71,2,61,14,
21913337,Lamb Cove Cottage,53109800,Louis,Charlotte,Saint Croix,45.107162,-67.131119,Entire home/apt,299,7,12,2021-08-29,0.34,2,48,6,
25843621,"Lubec Ocean View Home ""Crow Town"" - Sleeps 5-7.",194172499,Wanda,Charlotte,Campobello,44.81701,-66.95178,Entire home/apt,156,4,37,2022-06-04,0.77,1,64,7,
51276264,Chalet sur la Rivière / Cottage by the River,35300796,Maxime,Gloucester,Inkerman,47.67435,-64.96055,Entire home/apt,150,5,2,2021-10-31,0.21,1,119,2,
44374462,Water lover’s paradise,358019958,Patrick,Gloucester,Beresford,47.68582,-65.67124,Entire home/apt,230,6,2,2021-07-31,0.18,1,175,2,
49167935,Harbour View,256371991,Kendra,Charlotte,Grand Manan,44.68215,-66.75065,Entire home/apt,175,2,0,,,1,51,0,
46760099,Beachfront home,43162139,Jamie,Gloucester,Bathurst,47.67065,-65.64315,Entire home/apt,135,2,19,2022-05-29,1.04,1,147,4,
26986461,Bob's Cabin at Wishart's Point Lodge,154249045,Ned,Northumberland,Alnwick,47.33522,-64.98235,Entire home/apt,150,2,6,2021-08-17,0.13,3,148,4,
645385316276218855,Lovely one bedroom suite with your own deck.,42710985,Doreen And Tom,Westmorland,Westmorland,45.9740759,-64.04602899999999,Entire home/apt,125,2,0,,,1,343,0,
583874039785352498,Roulotte/RV à louer sur le bord de la mer,365844387,Janie,Gloucester,Beresford,47.87068,-65.77714,Entire home/apt,125,6,0,,,1,146,0,
49274552,Paradise on the Richibucto River,12262982,Jacques  & Alyson,Kent,Weldford,46.5898,-64.93174,Entire home/apt,215,3,24,2021-09-12,1.81,1,235,19,
11832145,Beachfront Cottage w Awesome Views!,63038241,Jacqueline,Westmorland,Botsford,46.15464,-63.84931,Entire home/apt,150,7,3,2021-09-18,0.04,1,310,1,
53859498,Mermaid's Mini Mansion,129727384,Racy,Charlotte,West Isles,44.911606,-66.98613,Entire home/apt,168,2,30,2022-06-23,5.33,1,282,30,
555256596924135142,Seas the Day Waterfront Chalet near Nat'l Park!,242155537,Étienne,Kent,Richibucto,46.69221,-64.85359,Entire home/apt,177,1,0,,,14,49,0,
5161600,The Henry George,26695369,Andrea,Kent,Wellington,46.49781,-64.67743,Entire home/apt,98,5,25,2022-01-01,0.30,2,312,7,
35317565,"Waterfront Family Vacation Home In Mundleville, NB",115234944,Shannon,Kent,Weldford,46.5879,-64.91859,Entire home/apt,295,6,18,2022-03-03,0.50,1,317,4,
50454753,The Blue Room,407628059,David,Charlotte,Saint Andrews,45.07038,-67.0482,Private room,116,1,14,2022-06-09,1.15,1,45,14,
628277785251629971,Eastern Beacon Inn Room 4,459426126,Patrick,Charlotte,Campobello,44.86039,-66.98206,Private room,194,1,1,2022-05-29,1,2,199,1,
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.13241,-67.04725,Entire home/apt,246,2,33,2022-06-10,0.39,1,293,15,
34011960,Sea Smoke Cottage - stunning water views abound!,17687429,Jenny,Charlotte,West Isles,44.91393,-66.98857,Entire home/apt,278,7,18,2022-05-15,0.78,1,290,7,
49724487,"Immaculate tiny house,walk to everything Eastport!",84379628,Maribeth,Charlotte,West Isles,44.90942,-66.99058,Entire home/apt,271,1,45,2022-06-19,4.17,1,327,45,
18923745,Sparkling Lubec Cottage: Summerkeys & Campobello,22720806,Catherine,Charlotte,Campobello,44.86104,-66.99035,Entire home/apt,214,5,45,2022-06-18,0.76,1,278,15,
10282546,Cottage on Court St,51689853,Anne,Victoria,Grand Falls Town,47.04515,-67.73971,Entire home/apt,200,1,119,2022-06-12,1.66,2,83,19,
10549820,Gite - Le Ch'ti Gite Bathurst,3200436,Christophe,Gloucester,Beresford,47.76642,-65.7167,Entire home/apt,85,1,56,2020-01-19,0.78,1,174,0,
10607122,Sweet modern bachelor apartment,50511831,Historica,Saint John,City of Saint John,45.27238,-66.06317,Entire home/apt,119,7,123,2022-03-13,1.62,11,0,4,
11018863,Home in Old West End,10602151,Cathy,Westmorland,Moncton,46.08619,-64.79962,Private room,77,1,76,2022-06-11,0.99,2,224,6,
11080838,"Bachelor Suites, Queen Bed",6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27364,-66.06291,Private room,185,1,12,2019-07-01,0.17,7,338,0,
11165175,Grand Lake Private Beachfront,58075626,Corey,Queens,Waterborough,45.96655,-65.99916,Entire home/apt,150,3,47,2020-07-31,0.64,1,21,0,
11209805,Lightkeeper's Cottage: Bay of Fundy,58382426,Kim,Saint John,Saint Martins,45.35862,-65.53395,Entire home/apt,165,2,147,2022-06-13,1.99,2,58,26,
11268769,Restored Victorian Suite,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.2747,-66.0633,Private room,199,1,28,2021-09-06,0.39,7,174,3,
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32857,-64.52445,Entire home/apt,150,7,8,2020-08-23,0.08,1,286,0,
11268777,Cozy 31ft camper on Atlantic Ocean,58779834,Fannie,Gloucester,Beresford,47.85422,-65.76446,Entire home/apt,95,7,79,2019-09-20,1.07,2,0,0,
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27727,-66.0604,Entire home/apt,125,2,49,2022-01-03,0.66,2,331,5,
11610017,A la Belle Etoile,61457598,Stella,Restigouche,Grimmer,47.64499,-67.35582,Entire home/apt,75,1,48,2021-08-28,0.67,1,362,4,
