,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,year,min_revenue,name_upper,name_lower
0,29150746,Waterfront privacy - Cozy vacation home,219658423,Tim,Kent,Wellington,46.43848,-64.70642,Entire home/apt,250,3,19,2021-08-16,0.52,1,19,5,,2021.0,750,WATERFRONT PRIVACY - COZY VACATION HOME,waterfront privacy - cozy vacation home
1,46150140,Cozy camp 2,373410986,Daniel & Randalyn,Madawaska,Saint-Francois,47.21967,-68.65194,Private room,104,1,8,2022-05-14,0.4,4,293,5,,2022.0,104,COZY CAMP 2,cozy camp 2
2,36698598,BaieSteAnneCottage.Minimum 7 nights summer month,48721268,Colin,Northumberland,Hardwicke,47.03242,-65.01803,Entire home/apt,175,2,6,2022-06-02,0.24,1,296,3,,2022.0,350,BAIESTEANNECOTTAGE.MINIMUM 7 NIGHTS SUMMER MONTH,baiesteannecottage.minimum 7 nights summer month
3,552500,Maine Riverfront Bed and Breakfast ROOM 3,2714886,Karen,Charlotte,Dufferin,45.16902,-67.24404,Private room,175,1,61,2021-10-14,0.51,4,114,5,,2021.0,175,MAINE RIVERFRONT BED AND BREAKFAST ROOM 3,maine riverfront bed and breakfast room 3
4,7797124,Best Cottage on the Bay of Fundy,41039968,Julie,Albert,Harvey,45.63206,-64.85833,Entire home/apt,200,2,125,2022-06-22,1.71,1,30,19,,2022.0,400,BEST COTTAGE ON THE BAY OF FUNDY,best cottage on the bay of fundy
5,3711811,Maine Riverfront B&B Lodging ROOM 2,2714886,Karen,Charlotte,Saint Stephen,45.18436,-67.26629,Private room,175,1,15,2018-09-30,0.16,4,120,0,,2018.0,175,MAINE RIVERFRONT B&B LODGING ROOM 2,maine riverfront b&b lodging room 2
6,8053240,Cottage in New-Brunswick,153800568,Maurice,Gloucester,Shippagan,47.75528,-64.74363,Entire home/apt,145,5,32,2022-06-18,0.45,1,257,3,,2022.0,725,COTTAGE IN NEW-BRUNSWICK,cottage in new-brunswick
7,52166866,It's About Time Unit #1 & Unit 2 (whole house),340761482,Elizabeth And Michael,Northumberland,Newcastle,47.07101,-65.41775,Entire home/apt,625,3,0,,,3,310,0,,,1875,IT'S ABOUT TIME UNIT #1 & UNIT 2 (WHOLE HOUSE),it's about time unit #1 & unit 2 (whole house)
8,16463016,Captain's Cabin,53109800,Louis,Charlotte,Saint Croix,45.107128,-67.129951,Entire home/apt,221,3,43,2022-06-17,0.71,2,61,14,,2022.0,663,CAPTAIN'S CABIN,captain's cabin
9,21913337,Lamb Cove Cottage,53109800,Louis,Charlotte,Saint Croix,45.107162,-67.131119,Entire home/apt,299,7,12,2021-08-29,0.34,2,48,6,,2021.0,2093,LAMB COVE COTTAGE,lamb cove cottage
